title,price,item_url,image_url,category
"American Beauty ""reduced price""-Royal Albert",15.19,https://www.etsy.com/ca/listing/913583473/free-shipping-beauty-bath-bomb-extra?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-36&organic_search_click=1&s2llc=1,https://i.etsystatic.com/21948276/d/il/11df99/2331752374/il_340x270.2331752374_g487.jpg?version=0,beauty
"Brazilian Bum Bum Lathering Bath Bomb, Sephora, Sol De Janeiro, Lathering, Foaming, Organic Bath Bomb, Moisturising, Exfoliating, Plant Oils",18.99,https://www.etsy.com/ca/listing/717703808/sale-5-pound-box-of-bath-bombs-huge?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-13&s2llc=1&bes=1,https://i.etsystatic.com/28554147/d/il/d3b4a4/3041339176/il_340x270.3041339176_s6wz.jpg?version=1,beauty
Plantain Balm (Plantago Major) skin balm | cuts | scrapes | herbal skin balm |,17.99,https://www.etsy.com/ca/listing/787056120/beauty-attraction-spell?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-14&s2llc=1&bes=1,https://i.etsystatic.com/16764849/d/il/2eb714/3143092448/il_340x270.3143092448_t38b.jpg?version=0,beauty
Luxury lavender bath oil. (Vegan),24.70,https://www.etsy.com/ca/listing/1036789567/body-wash?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-15&s2llc=1,https://i.etsystatic.com/22325241/d/il/6e60a6/2190603102/il_340x270.2190603102_q3jh.jpg?version=0,beauty
Warrior Flower Essence,50.00,https://www.etsy.com/ca/listing/920233445/im-perfect-3d-mink-lashes-beauty-makeup?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-16&s2llc=1,https://i.etsystatic.com/17517942/d/il/329cbe/3084102469/il_340x270.3084102469_dlm1.jpg?version=0,beauty
"Black Adjustable Wooden Cookbook Stand, Recipe stand, tablet holder",6.00,https://www.etsy.com/ca/listing/731666736/beauty-and-the-beast-couple-ceramic?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-37&organic_search_click=1&s2llc=1,https://i.etsystatic.com/6700784/c/2250/1788/0/1076/il/c27d03/2812001558/il_340x270.2812001558_lmjb.jpg,beauty
Beauty Within,13.50,https://www.etsy.com/ca/listing/775251215/sleeping-beauty-spinning-wheel-princess?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-38&organic_search_click=1&s2llc=1,https://i.etsystatic.com/23910194/d/il/7da8cc/2577595822/il_340x270.2577595822_1jb5.jpg?version=0,beauty
"Rich, healing balm made with Verbena and Calendula infused Virgin Coconut Oil and Beeswax. Lightly scented with freshness of Verbena.",18.00,https://www.etsy.com/ca/listing/939338710/disney-three-layer-masks?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-39&organic_search_click=1&s2llc=1,https://i.etsystatic.com/25996604/d/il/7ac9ee/3185365753/il_340x270.3185365753_aq8g.jpg?version=1,beauty
Set of 4 “American Beauty Rose” Teaspoons - 1847 Rogers Bros. 1909,14.58,https://www.etsy.com/ca/listing/993500534/intention-oil-rollers?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-40&organic_search_click=1&s2llc=1,https://i.etsystatic.com/22471498/d/il/541c11/2488143646/il_340x270.2488143646_kp9k.jpg?version=0,beauty
Beauty Stuffie,60.00,https://www.etsy.com/ca/listing/993651142/aloe-hemp-body-lotion-90ml?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-41&organic_search_click=1&s2llc=1,https://i.etsystatic.com/24782530/c/2250/1788/0/288/il/08ab2f/3118768221/il_340x270.3118768221_303x.jpg,beauty
